LipidIon,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
Cer(d16:1_16:0),11100000,10500000,15300000,61200000,58400000,58700000,94400000,71500000,7.10E+07,1.13E+08,1.18E+08,1.09E+08,1.46E+08,1.36E+08,1.20E+08,1.65E+08,1.85E+08,1.71E+08
Cer(d18:0_16:0),43700000,21100000,33100000,88400000,1.02E+08,90200000,2.18E+08,1.26E+08,1.24E+08,2.17E+08,2.34E+08,2.49E+08,3.36E+08,3.07E+08,2.71E+08,4.22E+08,4.59E+08,4.45E+08
Cer(d18:0_16:0+O),2673741.14,5052800.324,739615.956,9658003.571,11900000,6924066.451,28400000,14400000,13200000,22500000,26900000,29700000,36100000,35300000,32500000,44800000,48800000,40500000
Cer(d18:0_18:0),4520510.47,4026313.332,3554523.089,8254611.673,44200000,9349742.644,23600000,13800000,12800000,21700000,27200000,19700000,3.80E+07,41400000,30300000,43700000,48700000,42100000
Cer(d18:0_22:0),2410188.034,7481108.213,11100000,24400000,32900000,23400000,56400000,32400000,9532369.187,57400000,58200000,45400000,65900000,62200000,58900000,77500000,79100000,79100000
Cer(d18:0_24:0),8800365.531,10100000,12500000,16700000,25200000,25600000,38100000,2.50E+07,8917168.64,41500000,41500000,40400000,42900000,42400000,38900000,4.30E+07,46500000,45500000
Cer(d18:0_24:1),20500000,31400000,44500000,45200000,48900000,52400000,1.25E+08,68700000,62900000,1.21E+08,1.41E+08,1.00E+08,1.85E+08,1.77E+08,1.40E+08,1.99E+08,2.21E+08,2.29E+08
Cer(d18:1_16:0),7.93E+08,1.02E+09,9.58E+08,2.03E+09,2.03E+09,1.91E+09,3.74E+09,2.53E+09,2.33E+09,4.22E+09,4.15E+09,4.18E+09,5.44E+09,5.19E+09,4.80E+09,6.22E+09,6.82E+09,6.44E+09
Cer(d18:1_16:0+O),20600000,11300000,8488694.595,50200000,52100000,53700000,1.47E+08,78500000,70400000,95600000,1.19E+08,1.08E+08,1.51E+08,1.54E+08,1.49E+08,1.77E+08,1.89E+08,1.92E+08
Cer(d18:1_16:1),36900000,13900000,1864287.112,1.70E+08,1.49E+08,1.68E+08,5.11E+08,2.84E+08,2.18E+08,3.69E+08,4.17E+08,4.24E+08,5.05E+08,4.73E+08,5.38E+08,6.37E+08,8.33E+08,5.58E+08
Cer(d18:1_18:0),15500000,36200000,25700000,1.95E+08,1.88E+08,1.93E+08,4.65E+08,2.99E+08,2.68E+08,4.86E+08,4.90E+08,4.63E+08,6.98E+08,6.48E+08,5.85E+08,8.33E+08,9.34E+08,8.78E+08
Cer(d18:1_20:0),5829086.278,13300000,2519828.209,27800000,29700000,2.00E+07,56300000,49500000,49200000,47200000,85100000,62200000,85400000,78400000,75600000,1.23E+08,1.10E+08,1.30E+08
Cer(d18:1_22:0),37100000,8.10E+07,73100000,1.56E+08,1.47E+08,1.56E+08,3.65E+08,2.52E+08,2.15E+08,3.24E+08,3.88E+08,3.35E+08,5.48E+08,5.03E+08,4.13E+08,5.54E+08,5.99E+08,6.08E+08
Cer(d18:1_22:1),8191436.278,5473679.088,4102146.247,4.40E+07,15800000,14200000,91400000,56900000,59100000,95300000,1.12E+08,78200000,1.60E+08,1.49E+08,1.33E+08,1.84E+08,2.01E+08,2.02E+08
Cer(d18:1_24:0),1.20E+08,3.09E+08,2.64E+08,4.32E+08,3.81E+08,4.23E+08,8.87E+08,6.00E+08,2.77E+08,8.15E+08,9.88E+08,7.28E+08,1.17E+09,1.08E+09,1.06E+09,1.23E+09,1.29E+09,1.23E+09
Cer(d18:1_24:1),3.16E+08,4.37E+08,4.68E+08,9.00E+08,8.27E+08,8.77E+08,1.74E+09,1.18E+09,5.51E+08,1.59E+09,1.85E+09,1.31E+09,2.45E+09,2.29E+09,2.08E+09,2.51E+09,2.77E+09,2.68E+09
Cer(d18:1_26:0),1489863.024,9428890.461,7349854.641,10200000,1.30E+07,12600000,23700000,17200000,5028725.134,19300000,21700000,20700000,23300000,23300000,21800000,22600000,22900000,20500000
Cer(d18:1_26:1),9842161.137,15600000,17500000,22600000,17100000,20600000,56200000,43200000,32400000,46400000,51300000,35100000,57100000,52900000,5.80E+07,62500000,70100000,58900000
Cer(d18:2_14:0),564121.123,0,568430.194,4024872.42,3229144.481,3155694.059,5253523.151,4392628.346,3417554.444,6759132.03,7437207.54,4164497.195,10700000,9240375.093,7772076.465,11200000,10200000,11700000
Cer(d18:2_16:0),13800000,12600000,18100000,74700000,49500000,52700000,95500000,78800000,81300000,8.50E+07,1.22E+08,1.12E+08,1.64E+08,1.59E+08,1.55E+08,1.74E+08,1.36E+08,1.88E+08
Cer(d18:2_16:0+O),1803626.276,1180319.722,1167373.566,6990749.485,6692454.836,6239454.979,25700000,15200000,12400000,27700000,2.60E+07,18100000,41100000,33600000,37800000,41900000,4.70E+07,4.60E+07
Cer(d18:2_16:1),1975450.598,2987806.645,4461529.197,16100000,18100000,18400000,64300000,44400000,37100000,58800000,81600000,59400000,99800000,1.06E+08,71400000,96400000,1.10E+08,1.06E+08
Cer(d18:2_18:0),1714359.812,0,0,11300000,8086033.035,4976434.292,15700000,9016810.641,9093926.15,25500000,20900000,25600000,3.70E+07,34500000,36700000,49200000,36100000,55500000
Cer(d18:2_22:0),9162234.936,5895012.588,4463885.583,3.70E+07,32800000,34400000,68800000,53700000,42200000,58500000,96500000,65700000,1.20E+08,1.05E+08,1.06E+08,1.14E+08,1.43E+08,1.38E+08
Cer(d18:2_24:0),59200000,1.03E+08,1.10E+08,1.69E+08,1.57E+08,1.54E+08,3.21E+08,2.24E+08,1.26E+08,3.11E+08,3.94E+08,2.89E+08,4.44E+08,4.49E+08,4.21E+08,4.95E+08,5.73E+08,5.31E+08
Cer(d18:2_24:1),57300000,58800000,40800000,3.50E+08,2.73E+08,2.91E+08,4.64E+08,3.38E+08,2.79E+08,4.27E+08,5.42E+08,3.59E+08,6.32E+08,6.17E+08,5.83E+08,6.37E+08,7.44E+08,7.34E+08
Cer(d20:0_18:0),14100000,96700000,43500000,80800000,88500000,82600000,1.08E+08,83600000,1.07E+08,96200000,1.50E+08,1.15E+08,1.40E+08,1.53E+08,1.43E+08,95600000,1.08E+08,1.16E+08
Cer(d28:0),35400000,48700000,59600000,40100000,31600000,5.30E+07,50500000,49600000,71600000,45100000,54600000,46400000,1.05E+08,94200000,72600000,62200000,7.00E+07,65700000
Cer(d30:0),2.02E+08,58200000,2.98E+08,1.10E+08,1.01E+08,1.11E+08,1.28E+08,1.29E+08,1.73E+08,90200000,1.13E+08,1.04E+08,1.97E+08,1.94E+08,1.28E+08,1.53E+08,1.28E+08,1.58E+08
Cer(d32:0),3.38E+08,4.69E+08,7.58E+08,3.13E+08,2.84E+08,4.00E+08,3.93E+08,4.06E+08,4.84E+08,3.87E+08,4.80E+08,4.03E+08,7.17E+08,6.41E+08,5.54E+08,4.88E+08,5.46E+08,5.90E+08
Cer(d34:0),44600000,1.35E+08,1.22E+08,1.71E+08,1.46E+08,3.10E+08,1.81E+08,2.01E+08,2.30E+08,1.91E+08,3.36E+08,2.32E+08,3.42E+08,4.16E+08,2.71E+08,2.03E+08,2.06E+08,2.98E+08
Cer(d36:1+O),0,0,0,331482.784,535195.561,862774.766,3361793.389,2046857.959,932853.92,2361017.646,2714037.097,2610680.198,3888138.581,4041504.488,3671690.053,6233708.878,6476023.323,4923113.058
Cer(d36:2),4435981.626,3152777.493,1.20E+07,13200000,20800000,23200000,9942759.634,4574367.649,2595802.164,28100000,49900000,86100000,28800000,29100000,64100000,31200000,9578505.079,79500000
Cer(d38:1),6486635.374,7706208.825,4899436.872,56900000,51800000,52900000,1.40E+08,86400000,85100000,1.23E+08,1.49E+08,1.21E+08,2.14E+08,1.93E+08,1.73E+08,2.42E+08,1.91E+08,2.55E+08
Cer(d38:2),302895.126,5554434.113,751191.8238,11800000,9245995.41,10200000,24500000,15500000,0,22500000,2.20E+07,23500000,35200000,29800000,27700000,46800000,37800000,51900000
Cer(d40:1),68400000,1.33E+08,1.21E+08,2.62E+08,2.31E+08,2.40E+08,6.58E+08,4.17E+08,3.94E+08,5.92E+08,6.93E+08,5.36E+08,8.99E+08,8.50E+08,7.62E+08,9.99E+08,1.06E+09,1.06E+09
Cer(d40:3),866909.253,0,0,552629.3199,2055173.162,1694138.066,5826762.578,0,1856648.547,7751735.951,6196462.854,10700000,9338072.372,9536123.119,8989690.155,10800000,13600000,12500000
Cer(d42:1),1.91E+08,4.20E+08,4.03E+08,7.54E+08,6.57E+08,6.36E+08,1.49E+09,1.01E+09,4.31E+08,1.43E+09,1.61E+09,1.27E+09,1.91E+09,1.79E+09,1.77E+09,2.10E+09,2.00E+09,1.95E+09
Cer(d42:2),4.73E+08,7.52E+08,7.87E+08,1.54E+09,1.31E+09,1.42E+09,2.83E+09,1.95E+09,8.87E+08,2.51E+09,2.98E+09,2.17E+09,3.83E+09,3.62E+09,3.25E+09,4.04E+09,4.29E+09,4.38E+09
Cer(d42:3),1.12E+08,88500000,63200000,5.64E+08,4.61E+08,5.00E+08,7.94E+08,5.45E+08,5.38E+08,7.03E+08,8.62E+08,6.04E+08,1.06E+09,1.03E+09,9.16E+08,1.10E+09,1.26E+09,1.23E+09
Cer(d44:2),9854234.931,18900000,18600000,31500000,23500000,26400000,68900000,52500000,40500000,59500000,64500000,56300000,80900000,7.40E+07,69600000,77800000,90300000,82900000
Cer(d44:3),4597163.684,9941896.246,10600000,12500000,12900000,12100000,24900000,17500000,18800000,26800000,27200000,19600000,3.20E+07,31500000,32700000,2.90E+07,35400000,38200000
Cer(t16:0_16:1),0,0,0,2650009.985,1598544.069,2802582.079,6444225.355,5755534.267,5399114.846,6295151.477,6032958.762,6055011.077,12100000,10800000,8212723.877,9420459.59,1.40E+07,12600000
Cer(t18:0_16:0),3.13E+08,2.53E+08,1.56E+08,8.55E+08,8.27E+08,8.37E+08,1.53E+09,1.08E+09,1.03E+09,1.73E+09,1.70E+09,1.64E+09,2.18E+09,2.17E+09,1.93E+09,2.51E+09,2.77E+09,2.57E+09
Cer(t18:0_18:0),18900000,38500000,35600000,84400000,86200000,82100000,2.02E+08,1.31E+08,1.27E+08,2.12E+08,2.42E+08,1.93E+08,3.04E+08,2.75E+08,2.59E+08,3.85E+08,4.17E+08,3.65E+08
Cer(t18:0_20:0),5829086.278,13300000,2519828.209,27800000,29700000,2.00E+07,56300000,49500000,49200000,47200000,85100000,62200000,85400000,78400000,75600000,1.23E+08,1.10E+08,1.30E+08
Cer(t18:0_22:0),37100000,8.10E+07,73100000,1.56E+08,1.47E+08,1.56E+08,3.65E+08,2.52E+08,2.15E+08,3.24E+08,3.88E+08,3.35E+08,5.48E+08,5.03E+08,4.13E+08,5.54E+08,5.99E+08,6.08E+08
Cer(t18:0_24:0),1.20E+08,2.76E+08,2.59E+08,4.28E+08,3.78E+08,4.00E+08,8.81E+08,6.01E+08,2.77E+08,8.39E+08,9.94E+08,7.49E+08,1.19E+09,1.11E+09,1.10E+09,1.25E+09,1.27E+09,1.24E+09
Cer(t18:0_24:1),3.11E+08,4.52E+08,4.86E+08,9.15E+08,8.08E+08,8.72E+08,1.68E+09,1.17E+09,5.49E+08,1.55E+09,1.90E+09,1.31E+09,2.41E+09,2.28E+09,2.04E+09,2.53E+09,2.84E+09,2.71E+09
Cer(t18:1_16:0),20600000,11300000,15700000,50200000,52100000,53700000,1.47E+08,78500000,67900000,97400000,1.19E+08,1.08E+08,1.49E+08,1.44E+08,1.49E+08,1.80E+08,1.97E+08,1.88E+08
Cer(t18:1_16:1),1975450.598,2987806.645,4461529.197,16100000,18100000,18400000,64300000,44400000,37100000,58800000,81600000,59400000,99800000,1.06E+08,71400000,96400000,1.10E+08,1.06E+08
Cer(t18:1_22:0),9162234.936,6766264.612,5540124.352,3.70E+07,32800000,34400000,68800000,53700000,42200000,58500000,96500000,65700000,1.20E+08,1.05E+08,1.06E+08,1.14E+08,1.43E+08,1.38E+08
Cer(t18:1_24:0),59200000,1.02E+08,1.13E+08,1.54E+08,1.57E+08,1.40E+08,2.54E+08,2.24E+08,1.27E+08,2.76E+08,3.94E+08,2.43E+08,4.44E+08,4.49E+08,3.57E+08,3.92E+08,5.73E+08,4.12E+08
Cer(t18:1_24:1),75900000,1.24E+08,40800000,3.47E+08,2.62E+08,2.87E+08,4.65E+08,3.38E+08,3.22E+08,4.39E+08,5.34E+08,3.61E+08,6.27E+08,6.14E+08,5.76E+08,6.38E+08,7.37E+08,7.19E+08
Cer(t20:0_26:0),2779499.441,4886601.527,4474284.715,5231902.05,2.70E+07,30100000,4740693.537,3224503.305,1075031.505,21600000,6243998.424,14300000,6808994.877,3561352.599,11700000,9428799.61,0,0
Cer(t34:0),32100000,49300000,50300000,30600000,3.20E+07,42800000,47700000,45800000,54800000,46600000,5.70E+07,44200000,83700000,80100000,61800000,58100000,60700000,7.10E+07
Cer(t36:0),6324603.324,4030499.67,5477064.525,11400000,1.00E+07,9137838.528,15600000,31600000,2.30E+07,10100000,19600000,1.50E+07,41400000,52600000,27400000,24700000,37600000,32500000
ChE(),2991990.014,2.80E+08,2.93E+08,2.12E+09,1.72E+09,1.85E+09,2.02E+09,1.55E+09,2.24E+09,2.50E+09,3.22E+09,1.83E+09,1.65E+09,1.85E+09,1.66E+09,2.69E+09,3.18E+09,3.31E+09
ChE(18:1),0,18100000,23600000,1.72E+08,1.37E+08,1.50E+08,1.77E+08,1.39E+08,1.79E+08,2.11E+08,2.72E+08,1.53E+08,1.45E+08,1.49E+08,1.40E+08,2.22E+08,2.66E+08,2.80E+08
ChE(20:4),657681.06,39400000,54900000,1.13E+08,1.11E+08,1.04E+08,1.06E+08,99200000,1.25E+08,1.04E+08,1.19E+08,80300000,77100000,67700000,73300000,99100000,1.15E+08,1.13E+08
ChE(20:5),0,17100000,19400000,30800000,26200000,30400000,36200000,25900000,31400000,30500000,24700000,24700000,1.30E+07,5670438.764,5652619.534,5175146.08,0,0
ChE(22:6),807279.519,98300000,1.04E+08,2.48E+08,2.28E+08,2.24E+08,2.66E+08,2.24E+08,2.88E+08,2.14E+08,2.79E+08,1.73E+08,1.76E+08,2.00E+08,1.81E+08,1.90E+08,2.27E+08,2.21E+08
Co(Q10),2988277.079,52700000,59800000,94900000,72900000,88900000,1.54E+08,95700000,44600000,90300000,1.05E+08,85800000,82800000,91100000,84300000,47400000,66800000,71200000
Co(Q9),41600000,3.15E+08,3.59E+08,6.87E+08,5.48E+08,6.33E+08,9.00E+08,8.07E+08,3.83E+08,9.47E+08,1.06E+09,8.31E+08,7.81E+08,9.14E+08,8.46E+08,7.13E+08,8.57E+08,8.18E+08
DG(16:0_14:0),15500000,1708890.851,3865691.909,18400000,1.20E+07,15400000,1.40E+07,19400000,17600000,16300000,1.60E+07,23400000,17900000,19400000,19800000,26100000,24300000,24700000
DG(16:0_16:0),9006516.65,17700000,26500000,6.90E+07,69400000,64800000,95100000,86100000,89600000,72300000,92200000,78600000,1.09E+08,1.35E+08,1.12E+08,1.19E+08,1.29E+08,1.38E+08
DG(16:0_16:1),21200000,9007771.069,16100000,72600000,55700000,75500000,1.43E+08,1.50E+08,1.86E+08,1.26E+08,1.44E+08,1.50E+08,2.10E+08,2.53E+08,1.84E+08,2.89E+08,2.91E+08,2.93E+08
DG(16:0_18:1),90600000,29500000,30600000,1.54E+08,1.15E+08,1.40E+08,2.24E+08,2.04E+08,2.41E+08,1.86E+08,2.32E+08,1.81E+08,2.71E+08,3.90E+08,2.56E+08,2.96E+08,3.44E+08,3.08E+08
DG(16:0_22:6),1.57E+08,6631990.569,12600000,36900000,27100000,29800000,74100000,58500000,4.00E+07,4.60E+07,74300000,46900000,65900000,65200000,65300000,56500000,65900000,60500000
DG(16:1_14:0),3276523.419,0,0,6812313.457,1438378.043,1384326.936,12800000,18800000,7383027.571,8577204.067,1.60E+07,20400000,2.00E+07,14600000,15100000,37600000,31500000,30100000
DG(16:1_18:1),7831931.273,6380906.67,12200000,92700000,72600000,85900000,2.15E+08,2.08E+08,2.41E+08,1.89E+08,2.26E+08,2.08E+08,2.38E+08,2.31E+08,2.15E+08,2.51E+08,2.96E+08,2.95E+08
DG(18:0_18:0),33500000,50600000,50600000,74500000,91200000,85600000,68800000,57700000,28100000,1.38E+08,1.35E+08,1.10E+08,1.26E+08,1.49E+08,1.20E+08,1.30E+08,1.41E+08,1.36E+08
DG(18:0_18:2),3.39E+08,2892514.863,2130511.622,8342544.172,7280170.101,6960108.365,6881737.738,13600000,1.60E+07,20600000,4500403.972,17900000,21800000,20300000,26500000,8826365.441,26800000,18200000
DG(18:0_20:3),24200000,37300000,26200000,7.70E+07,62400000,83600000,3.36E+08,2.20E+08,1.56E+08,1.49E+08,2.29E+08,1.27E+08,2.03E+08,1.69E+08,2.01E+08,1.26E+08,1.55E+08,1.87E+08
DG(18:0_20:4),2.12E+08,95400000,1.46E+08,4.46E+08,3.53E+08,4.23E+08,1.74E+09,1.19E+09,4.51E+08,7.37E+08,1.09E+09,6.31E+08,8.11E+08,6.41E+08,8.77E+08,5.14E+08,6.59E+08,8.32E+08
DG(18:0_20:5),2052567.703,4044414.832,1671458.23,28600000,18400000,23200000,98500000,57800000,1.30E+07,30700000,36200000,26800000,33900000,2.10E+07,31700000,10900000,23200000,32600000
DG(18:0_22:3),4447837.812,7312804.383,12800000,9817133.012,8011903.208,9410188.792,25700000,17600000,12200000,14200000,20200000,8971718.572,1.60E+07,10200000,14700000,10300000,1.40E+07,18600000
DG(18:0_22:5),26700000,15800000,12200000,63900000,45500000,52500000,1.98E+08,1.31E+08,53200000,1.09E+08,1.42E+08,85800000,1.17E+08,95700000,1.19E+08,79600000,90400000,1.04E+08
DG(18:0e),0,0,0,153720.7014,178239.8043,647050.072,378683.324,291682.129,1171278.356,6737734.319,4980958.833,3396751.685,56100000,70300000,54800000,1.34E+08,1.66E+08,1.63E+08
DG(18:1_18:1),58100000,16800000,24600000,1.17E+08,90500000,92700000,2.32E+08,2.04E+08,1.56E+08,1.70E+08,2.26E+08,1.64E+08,2.28E+08,2.19E+08,1.86E+08,1.90E+08,2.45E+08,2.02E+08
DG(18:1_20:3),2135903.475,6630264.091,10300000,24500000,15200000,22500000,1.15E+08,87700000,64700000,47600000,69300000,45800000,52800000,52200000,5.60E+07,37800000,53700000,5.70E+07
DG(18:1_20:4),14500000,16700000,34400000,1.08E+08,82400000,48100000,3.77E+08,2.97E+08,2.64E+08,1.86E+08,2.56E+08,1.76E+08,2.36E+08,2.14E+08,2.23E+08,1.94E+08,2.17E+08,2.31E+08
DG(18:1_22:6),7549977.455,10200000,9196191.577,40500000,22900000,3.50E+07,83100000,61800000,42800000,43500000,6.70E+07,38300000,47500000,4.10E+07,4.20E+07,36700000,4.00E+07,3.70E+07
DG(20:0e),0,0,0,2447239.659,1748260.036,1580186.396,1120385.267,1557025.409,2625295.886,8805564.55,8412468.899,6945668.738,46800000,52100000,48700000,1.07E+08,1.30E+08,1.29E+08
DG(22:2e),0,0,0,0,0,700986.195,0,0,0,1509565.651,822053.716,1685671.836,18400000,18300000,18300000,38400000,50200000,49500000
DG(24:0e),0,0,360916.191,3805578.532,5610067.17,4485910.934,1.10E+07,12100000,10200000,25400000,23300000,23600000,78700000,7.30E+07,74600000,1.57E+08,1.69E+08,1.83E+08
DG(24:1e),0,0,0,0,0,515879.301,1078166.638,2814824.585,2324398.214,6830042.463,6032303.251,5895646.635,2.00E+07,17900000,18500000,62500000,51300000,53100000
DG(24:2e),0,369577.549,418563.075,1624864.521,2270570.403,2682563.052,1203778.285,1474435.102,0,5173550.127,6801591.196,5746194.931,21700000,2.00E+07,17400000,42400000,47200000,36700000
DG(26:0e),0,2581389.811,1978087.637,28300000,34300000,34800000,48800000,58400000,37800000,1.10E+08,1.18E+08,1.08E+08,1.69E+08,1.70E+08,1.79E+08,3.04E+08,3.75E+08,3.50E+08
DG(26:1e),0,0,307023.67,3248158.388,5473814.609,3809422.299,14800000,21200000,12400000,42700000,48200000,38200000,76200000,8.70E+07,96600000,1.80E+08,2.15E+08,2.18E+08
DG(28:0e),0,13400000,17900000,1.20E+08,1.50E+08,1.21E+08,2.23E+08,3.35E+08,2.18E+08,5.44E+08,5.64E+08,5.57E+08,8.95E+08,9.77E+08,1.06E+09,1.74E+09,1.69E+09,1.85E+09
DG(28:1e),0,4871321.333,5621060.308,44400000,45500000,48600000,1.14E+08,1.50E+08,1.01E+08,2.83E+08,3.19E+08,2.60E+08,4.69E+08,5.61E+08,5.37E+08,9.37E+08,9.77E+08,1.06E+09
DG(28:2e),0,3615504.584,7255584.023,37300000,39400000,33300000,29300000,30100000,27400000,58300000,46800000,43700000,53900000,84200000,90200000,1.30E+08,1.18E+08,1.35E+08
DG(28:3e),0,2581361.485,1979053.692,27900000,34300000,34800000,48700000,58700000,37700000,1.12E+08,1.18E+08,1.08E+08,1.88E+08,1.92E+08,1.77E+08,3.56E+08,3.77E+08,3.52E+08
DG(30:1e),24600000,38300000,41500000,2.14E+08,1.96E+08,1.80E+08,5.01E+08,8.22E+08,6.04E+08,1.29E+09,1.41E+09,1.34E+09,2.50E+09,2.71E+09,2.70E+09,4.49E+09,4.62E+09,4.74E+09
DG(30:2e),659061.538,37700000,41700000,1.88E+08,1.83E+08,1.99E+08,1.51E+08,1.62E+08,2.29E+08,3.03E+08,2.38E+08,2.18E+08,4.79E+08,4.30E+08,4.38E+08,6.20E+08,6.14E+08,5.74E+08
DG(30:3e),0,13600000,18100000,1.27E+08,1.13E+08,1.23E+08,2.24E+08,3.45E+08,2.22E+08,5.16E+08,5.77E+08,5.32E+08,9.59E+08,1.05E+09,1.08E+09,1.76E+09,1.80E+09,1.91E+09
DG(32:0e),8.10E+07,2.54E+08,2.92E+08,1.13E+09,1.05E+09,1.17E+09,1.17E+09,1.03E+09,1.34E+09,1.76E+09,1.64E+09,1.70E+09,2.57E+09,2.97E+09,3.28E+09,4.22E+09,5.20E+09,4.39E+09
DG(32:1e),8180505.704,1.54E+08,2.11E+08,6.97E+08,6.58E+08,6.60E+08,9.21E+08,1.11E+09,1.29E+09,1.68E+09,1.84E+09,1.98E+09,3.02E+09,3.28E+09,2.42E+09,3.59E+09,4.13E+09,4.24E+09
DG(32:2e),4279730.619,92400000,95600000,4.48E+08,4.62E+08,4.97E+08,3.50E+08,4.17E+08,5.48E+08,6.49E+08,5.78E+08,5.82E+08,1.26E+09,1.34E+09,1.38E+09,1.83E+09,2.16E+09,2.73E+09
DG(32:3e),53800000,1.26E+08,1.70E+08,7.87E+08,7.19E+08,7.85E+08,9.03E+08,1.06E+09,1.35E+09,1.69E+09,1.78E+09,1.43E+09,3.10E+09,3.49E+09,3.20E+09,5.06E+09,5.33E+09,4.92E+09
DG(34:0e),1.90E+08,3.36E+08,3.10E+08,1.78E+08,1.67E+08,1.66E+08,2.87E+08,2.94E+08,2.73E+08,3.74E+08,4.04E+08,3.07E+08,5.75E+08,5.40E+08,4.47E+08,4.32E+08,4.95E+08,3.85E+08
DG(34:1e),7862742.906,1.93E+08,2.19E+08,8.18E+08,6.33E+08,6.73E+08,9.10E+08,7.43E+08,8.92E+08,1.20E+09,1.36E+09,1.23E+09,1.43E+09,1.54E+09,1.64E+09,1.77E+09,2.27E+09,1.84E+09
DG(34:2e),486347.715,25200000,34400000,98700000,1.05E+08,1.12E+08,89200000,71700000,98300000,1.17E+08,1.24E+08,1.12E+08,1.76E+08,2.22E+08,1.57E+08,2.74E+08,2.97E+08,3.15E+08
DG(34:3e),7443336.228,2.53E+08,2.94E+08,1.12E+09,1.05E+09,1.17E+09,2.50E+09,1.10E+09,1.25E+09,1.75E+09,1.79E+09,1.90E+09,2.56E+09,3.16E+09,3.26E+09,4.12E+09,5.22E+09,4.34E+09
DG(34:4e),5153307.266,1.54E+08,2.10E+08,6.99E+08,6.58E+08,6.61E+08,9.24E+08,1.09E+09,1.54E+09,1.67E+09,1.81E+09,1.97E+09,3.06E+09,3.27E+09,2.43E+09,3.57E+09,3.57E+09,4.19E+09
DG(36:1e),0.418,13200000,15400000,7.00E+07,52100000,63900000,50300000,50300000,53800000,63600000,73500000,56200000,75500000,73200000,57400000,84500000,1.07E+08,77100000
DG(36:4e),7862742.906,1.93E+08,2.19E+08,8.18E+08,6.33E+08,6.73E+08,9.10E+08,7.43E+08,8.92E+08,1.20E+09,1.36E+09,1.23E+09,1.43E+09,1.54E+09,1.64E+09,1.77E+09,2.27E+09,1.84E+09
DG(38:1e),0,2542296.016,2884393.915,21700000,16100000,1.50E+07,14500000,8586604.651,12900000,14200000,15500000,11500000,13400000,13700000,13700000,10500000,17800000,18200000
DG(38:2e),11800000,4065787.201,3461426.837,11100000,9979539.886,7650940.986,19500000,9921184.801,9815872.703,20400000,15500000,7243054.821,19900000,25400000,11600000,12700000,15100000,16100000
DG(38:4e),37100000,32200000,42900000,1.02E+08,31500000,29300000,1.57E+08,1.30E+08,1.30E+08,1.69E+08,1.80E+08,1.31E+08,2.18E+08,2.70E+08,2.41E+08,1.74E+08,2.11E+08,1.63E+08
DG(40:1e),0,1921486.157,1391360.342,15200000,9369492.217,12400000,7246353.994,4420672.119,7597510.903,7456917.078,9277837.914,6855535.005,6288881.152,7025904.041,5750054.301,5334683.763,5777871.144,5105086.111
Hex1Cer(d18:1_16:0),7.03E+08,5.91E+08,6.20E+08,3.19E+08,3.15E+08,3.23E+08,6.53E+08,5.72E+08,5.57E+08,9.89E+08,1.15E+09,1.23E+09,1.17E+09,1.15E+09,1.03E+09,9.72E+08,1.07E+09,8.90E+08
Hex1Cer(d18:1_18:0),29500000,41100000,21100000,27200000,23600000,23100000,48100000,40300000,31300000,72200000,73300000,77200000,99100000,94600000,91500000,82700000,1.08E+08,79300000
Hex1Cer(d18:1_22:0),47800000,79500000,74400000,49400000,47200000,45200000,87900000,80900000,60400000,1.21E+08,1.45E+08,1.25E+08,1.59E+08,1.59E+08,1.49E+08,1.57E+08,1.79E+08,1.54E+08
Hex1Cer(d18:1_24:1),2.89E+08,1.94E+08,1.59E+08,3.07E+08,2.77E+08,2.79E+08,4.73E+08,3.94E+08,4.11E+08,5.77E+08,7.24E+08,5.03E+08,7.73E+08,8.01E+08,6.70E+08,7.16E+08,8.69E+08,6.50E+08
Hex1Cer(d18:2_16:1),633218.1975,2345158.757,1110180.067,2679988.745,2255241.744,1398577.322,5317229.825,5752680.735,6162970.272,6770688.64,11100000,5822850.575,9399445.122,9193395.602,9220473.316,6468946.728,8559572.55,4592684.423
Hex1Cer(d18:2_24:1),13300000,12500000,14600000,22800000,21100000,21400000,27200000,25100000,28900000,38400000,5.40E+07,34800000,65400000,64900000,53500000,33200000,69100000,55700000
Hex1Cer(d22:1_18:1),0,0,0,0,45200000,56500000,0,0,0,0,0,23700000,0,1.53E+08,0,0,0,2.44E+08
Hex1Cer(d34:0),9548555.27,13200000,15900000,2825515.376,3154030.681,3230288.755,6619936.093,6053649.145,4234494.779,15400000,15800000,17600000,16700000,17300000,14800000,1.40E+07,1.60E+07,10200000
Hex1Cer(d34:1),5.50E+08,4.47E+08,2.37E+08,2.34E+08,2.34E+08,2.40E+08,5.23E+08,4.28E+08,4.14E+08,8.67E+08,8.99E+08,9.70E+08,8.81E+08,8.92E+08,7.38E+08,7.37E+08,8.30E+08,6.80E+08
Hex1Cer(d40:1),28300000,41800000,48700000,28300000,33100000,29900000,5.20E+07,46700000,23300000,73500000,80200000,69400000,8.90E+07,1.27E+08,82400000,1.45E+08,1.34E+08,96200000
