"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","QC-1","QC-2","QC-3","QC-4","QC-5","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"PE(36:1)",2.63e+09,2.62e+09,2.16e+09,2.42e+09,3.1e+09,1.526e+09,3.32e+09,2.557e+09,1.729e+09,1.718e+09,1.697e+09,1.657e+09,1.82e+09,4.81e+08,1.122e+09,9.18e+08,9.47e+08,1.101e+09,1.23e+09,1.387e+09,9.13e+08
"PE(36:2)",1.662e+09,1.568e+09,2.394e+09,1.462e+09,1.752e+09,1.646e+09,1.863e+09,2.881e+09,1.916e+09,1.878e+09,1.916e+09,7.95e+08,1.113e+09,314758305,6.11e+08,1201322790,1.153e+09,1.291e+09,1.437e+09,1.526e+09,7.03e+08
"PE(36:3)",1228691076,1099463060,981618103,1028423390,1356369140,775988017,1146138057,1039672551,966643302,905455964,851363265,904105139,966110543,376747942,711029135,614746472,706837464,708558877,816833593,846365177,689484435
"PE(36:4)",1.047e+09,8.62e+08,8.16e+08,8.9e+08,1.09e+09,5.72e+08,1.082e+09,1.01e+09,6.91e+08,6.67e+08,6.4e+08,5.63e+08,7.04e+08,1.84e+08,5.29e+08,4.59e+08,4.68e+08,4.92e+08,5.71e+08,6.84e+08,4.64e+08
"PE(36:5)",135400274,151531439,138310345,144072227,163793780,117958465,160777526,141309424,126325064,125081955,110467070,111510583,124455869,45052907,98299706,90541717,108061400,106936089,109041271,111128341,114506267
"PE(36:6)",1375545,1431413,851321,807810,1707175,504316,987711,836204,869005,839751,848842,431639,811850,191538,222769,331018,482286,377570,514025,511140,469369
"PE(37:1)",851316,1040760,745595,1094529,985740,644889,1056803,807003,762967,793445,911402,313367,742492,399422,505941,654935,473604,706594,653850,780920,762854
"PE(37:2)",8418625,7429720,7339585,8396703,1.2e+07,6249746,1e+07,7895040,6267066,6315216,6284543,3391767,6187283,3529052,6111723,5769178,5876290,5172407,4881817,5323925,5650439
"PE(37:4)",2.3e+07,2.1e+07,2.3e+07,2e+07,2.8e+07,1.4e+07,2.9e+07,2.3e+07,1.8e+07,1.6e+07,1.7e+07,1.5e+07,1.7e+07,4347094,1.2e+07,9783556,9442700,9006357,1.1e+07,1.4e+07,9081691
"PE(38:1)",20966576,21194366,19454261,25582377,21850574,14461293,23672458,18799836,16160052,17621791,16105189,12250888,15769506,9126022,11546703,12481635,13415355,16799461,15424666,17003186,14269803
"PE(38:2)",29984135,3.6e+07,32013438,3.6e+07,36946647,24539287,39968267,33457216,24095616,22032046,23487265,10286321,24777851,11939894,14200878,18436094,17996990,24467861,22112281,26706036,18583611
"PE(38:3)",4.9e+07,4e+07,4.1e+07,4.1e+07,5.4e+07,3.2e+07,4.9e+07,5.8e+07,3.3e+07,3.1e+07,3.2e+07,1.6e+07,3.2e+07,1.4e+07,2e+07,2.4e+07,2.6e+07,2.6e+07,3e+07,3.5e+07,2.3e+07
"PE(38:4)",1.394e+09,1.254e+09,1.202e+09,1.283e+09,1.596e+09,9.2e+08,1.516e+09,1.553e+09,9.39e+08,8.88e+08,8.58e+08,6.1e+08,9.39e+08,357564487,5.9e+08,6.56e+08,6.64e+08,7.08e+08,7.49e+08,9.44e+08,6.17e+08
"PE(38:5)",7.17e+08,5.9e+08,4.86e+08,5.7e+08,6.98e+08,3.78e+08,6.74e+08,6.51e+08,4.46e+08,4.14e+08,4.14e+08,3.33e+08,4.41e+08,103001262,3.06e+08,2.97e+08,3.19e+08,3.5e+08,3.62e+08,4.49e+08,2.89e+08
"PE(38:6)",1.086e+09,8.46e+08,7.48e+08,8.01e+08,1.02e+09,5.76e+08,9.81e+08,8.85e+08,6.2e+08,6.04e+08,6.15e+08,4.67e+08,6.18e+08,152925191,464336860,4.29e+08,4.74e+08,4.64e+08,5.45e+08,6.62e+08,4.47e+08
"PE(38:7)",2.6e+07,2.4e+07,1.9e+07,1.9e+07,2.9e+07,1.3e+07,1.9e+07,1.9e+07,1.7e+07,1.7e+07,1.6e+07,1.8e+07,1.6e+07,4304228,1.1e+07,8891290,1.5e+07,1.1e+07,1.3e+07,1.5e+07,1.3e+07
"PE(39:4)",1.1e+07,9792487,8660676,1.1e+07,1.2e+07,8092479,1.3e+07,1.1e+07,8573297,7496000,7361490,4198149,8412776,2862299,6863115,6391205,7282332,6490927,5651828,6437295,6460420
"PE(39:6)",1.6e+07,1.1e+07,1.3e+07,1.2e+07,1.7e+07,8217895,1.7e+07,1.3e+07,9726246,8601441,9537629,8528741,9514050,2398917,6921604,4754447,5384946,5107267,6905930,8138045,5434322
"PE(40:2)",2001619,3364076,2217371,1666018,2650000,1363130,4099888,1393755,1537083,2061501,2389951,384282,1149959,875012,286872,1239124,964694,1115152,1368488,1296102,1115586
"PE(40:4)",222736029,180487517,158706680,170783124,227035608,125789423,202310554,217673059,154169470,141587452,135287454,126923923,148507998,53121958,125230279,96475275,95685633,101037950,148247606,163628177,105740754
"PE(40:5)",1.91e+08,1.48e+08,1.36e+08,1.38e+08,1.8e+08,9.8e+07,1.8e+08,1.6e+08,1.12e+08,1.15e+08,1.06e+08,1.01e+08,1.19e+08,31243029,9.3e+07,8.1e+07,8.8e+07,9e+07,1.12e+08,1.29e+08,8.5e+07
"PE(40:6)",1.816e+09,1.551e+09,1.414e+09,1.481e+09,1.891e+09,9.67e+08,1.845e+09,1.751e+09,1.091e+09,1.039e+09,1.02e+09,8.96e+08,1.051e+09,249499952,5.92e+08,5.64e+08,6e+08,6.37e+08,7.31e+08,9.18e+08,6.14e+08
"PE(40:7)",7.8e+08,7.35e+08,7.42e+08,8.09e+08,8.52e+08,6.29e+08,9.02e+08,7.78e+08,6.77e+08,6.7e+08,6.24e+08,6.75e+08,6.76e+08,219146320,5.28e+08,4.86e+08,5.7e+08,6.41e+08,5.77e+08,6.51e+08,5.09e+08
"PE(40:8)",1.24e+08,67423044,63943671,74336150,86389284,44658781,92474403,77931732,50694407,47967687,49443213,38531946,54172141,6397848,26814764,25394069,25663817,25737897,31760749,37325543,27781470
"PE(42:1)",4364554,3639963,2842043,3534756,3337146,2076546,3812266,2587777,2650972,2692901,2789499,1338457,2716614,1010241,1214716,1428932,1849573,2292187,2535669,2493416,1997300
"PE(42:10)",4111615,2680008,3390987,2936397,4185700,2072064,3666063,3280868,2120231,2242948,1564810,2436375,2228029,220947,1658105,832967,891132,1094697,1683907,1798135,1565791
"PE(42:5)",4602855,4251575,3599483,4237569,4694830,2888478,5028121,3746152,3750345,3274867,3375279,1568036,3702413,653384,2543131,2459684,2255701,3222677,2950590,3662159,2414130
"PE(42:6)",1.4e+07,1.4e+07,1.4e+07,1.7e+07,1.5e+07,1.2e+07,1.8e+07,1.5e+07,1.1e+07,1.2e+07,1.1e+07,1.2e+07,1.2e+07,2787147,1.2e+07,8887784,8201695,8718323,9863816,1.1e+07,9450235
"PE(51:6)",3.1e+07,5.2e+07,3.6e+07,4.9e+07,2.9e+07,3e+07,5e+07,2.6e+07,2.4e+07,2.6e+07,2.8e+07,5e+07,2e+07,2.1e+07,3e+07,1.9e+07,1.2e+07,2.2e+07,2.5e+07,3.3e+07,3.2e+07
"PG(32:0)",2.7e+07,1.4e+07,1.3e+07,1.2e+07,1.8e+07,1.4e+07,1.3e+07,1.5e+07,1.3e+07,1.5e+07,1.3e+07,1.4e+07,1.7e+07,1.3e+07,1.6e+07,1.2e+07,1.4e+07,1.3e+07,1.6e+07,1.1e+07,1.7e+07
"PG(34:0)",2e+07,2.3e+07,2e+07,2e+07,2.6e+07,2.4e+07,2.3e+07,2.3e+07,2e+07,2.2e+07,2e+07,2e+07,2.2e+07,1.8e+07,2.2e+07,1.6e+07,1.7e+07,1.9e+07,2.1e+07,1.8e+07,2.2e+07
"PG(34:1)",2.98e+08,2.64e+08,2.04e+08,2.45e+08,3.26e+08,1.57e+08,3.41e+08,2.28e+08,1.61e+08,1.62e+08,1.75e+08,1.17e+08,1.53e+08,1.35e+08,1.09e+08,1.26e+08,1.13e+08,1.36e+08,1.68e+08,1.68e+08,1.42e+08
"PG(34:2)",31486251,26093405,26852006,23336224,34951596,13181396,32993413,27160735,18382555,17003765,16472598,11608341,17333540,5909969,7330913,8493624,9118960,8108616,11601617,11403276,9270536
"PG(34:3)",888174,642175,839361,677267,995218,546147,792916,902600,618269,655717,646548,300435,744433,165142,317832,331646,465234,512050,492548,626845,553526
"PG(36:3)",7259274,4944826,5273562,5481291,6053278,3501615,7064248,6180560,4013822,4175031,3914066,1971543,4383668,1019153,2132003,1767636,2154555,2425296,2909075,4220399,3087778
"PG(36:4)",7864984,5550126,6505363,7004370,7181860,4741315,8698816,7775845,6245654,6392494,6006440,2920231,6289639,1461123,2872834,2487113,2777085,3858344,5087807,6332695,4370436
"PG(40:7)",1744151,1454409,780563,1252804,1653529,777445,1233495,1906891,1238327,1487057,1296005,656343,1173595,258518,530098,1310880,650136,624830,1095267,2111540,1322795
"PG(40:8)",1294127,1409619,1231412,1305293,974976,789712,1223601,1953938,1170322,1373499,1114689,354089,1294418,260277,1165750,1045890,746059,759874,790526,1338202,561361
"PG(46:2)",4.2e+07,5.6e+07,4.8e+07,4.2e+07,5.8e+07,7.2e+07,5.7e+07,5.9e+07,8.6e+07,7.8e+07,7.1e+07,7.7e+07,7.5e+07,9.3e+07,1.2e+08,1e+08,1.1e+08,7.8e+07,1.1e+08,8.7e+07,1.3e+08
"PG(47:2)",1e+07,1.6e+07,7095293,7501583,1.4e+07,1.6e+07,7125925,1.1e+07,3.4e+07,3.2e+07,3.1e+07,4e+07,3.5e+07,6.7e+07,6.1e+07,4.7e+07,5.9e+07,3.9e+07,7e+07,5.1e+07,7.5e+07
"PG(47:3)",2.7e+07,4e+07,1.7e+07,1.8e+07,3.8e+07,3.7e+07,2.2e+07,2.8e+07,8e+07,8.3e+07,8.1e+07,8.4e+07,8e+07,1.3e+08,1.3e+08,9.3e+07,1.2e+08,9.4e+07,1.6e+08,1.2e+08,1.5e+08
"PI(34:0)",1.2e+07,1.2e+07,1.1e+07,9153548,1e+07,1e+07,1.5e+07,1.1e+07,7104262,7586833,8403768,4352482,8272206,4051879,5036354,6985245,7301748,6270799,8377944,6688326,6145095
"PI(34:2)",4.1e+07,2.6e+07,3.2e+07,3.4e+07,4.3e+07,14910831,3.6e+07,2.6e+07,23373736,22098952,21614583,14170827,20979719,9977700,9458435,8864634,11240837,8828310,17642571,15355058,10952675
"PI(34:3)",991605,797743,1068059,1266955,1202975,777175,931826,792854,1009196,645248,529223,221944,801124,324107,348718,365729,466771,446502,572851,677576,480124
"PI(36:2)",1.38e+08,9.8e+07,1.44e+08,1.35e+08,1.88e+08,4.3e+07,1.88e+08,1.03e+08,7e+07,8.3e+07,7.9e+07,4.8e+07,8e+07,3.4e+07,20065863,2.9e+07,3e+07,3e+07,6e+07,4.9e+07,3.2e+07
"PI(36:3)",4.1e+07,20482297,3.9e+07,4.6e+07,5e+07,9011559,3.6e+07,30433395,28819750,26427573,26637878,17131582,25101003,11320986,7410341,5541009,11216466,8299837,17371270,13561995,10409642
"PI(36:4)",1.76e+08,1.53e+08,1.37e+08,1.27e+08,1.57e+08,8.7e+07,1.36e+08,1.26e+08,1.18e+08,1.12e+08,1.07e+08,6.7e+07,1.19e+08,4.9e+07,5.8e+07,7.4e+07,8.6e+07,6.7e+07,9.4e+07,1.04e+08,8.5e+07
"PI(36:5)",2262659,2216581,1442327,1379665,2461376,807516,1604521,1030587,2004387,1326723,1813906,700964,1842714,415538,291147,496668,541573,325168,1097587,753988,775811
"PI(37:4)",8331686,7966003,7965259,7229524,8348721,5854189,8978300,6644128,7316625,5995773,6621972,2879465,7038512,2875162,3731017,5188967,4299147,4504619,5607447,7221782,4950560
"PI(38:3)",6.2e+07,2.7e+07,3.4e+07,3.2e+07,4e+07,20836589,3.5e+07,31876436,24916582,22468778,23654285,14893314,24525458,11705336,15754041,13859013,14160274,12249365,24299588,22918868,12891744
"PI(38:4)",9.8e+08,7.8e+08,6.8e+08,6.9e+08,7.5e+08,5.1e+08,8.4e+08,7.7e+08,5.6e+08,5.7e+08,5.6e+08,2.9e+08,5.8e+08,2.4e+08,3.2e+08,4.7e+08,3.9e+08,4.3e+08,4.6e+08,5.9e+08,3.9e+08
"PI(38:5)",1.31e+08,9.8e+07,9.6e+07,1.06e+08,1.1e+08,5.4e+07,1.15e+08,9e+07,8.5e+07,8.4e+07,8.1e+07,34639765,8.2e+07,27973413,37277060,48569095,6.2e+07,52439877,6.7e+07,7.2e+07,5.9e+07
"PI(38:6)",8680083,4126042,5143545,5620466,6184064,2420948,5461729,6542936,5114134,6559659,6881650,2997612,6345267,1449562,2177794,2248453,2814033,1754517,3511759,3072868,2637450
"PI(40:6)",1.8e+07,5235968,5023755,4547871,5316693,2516219,5048563,4462911,4173723,3503181,4017147,1921357,4367772,1378396,1639981,2062969,2181458,1835608,3230163,4512080,2103497
"PI(40:7)",1387310,445327,555868,623821,641596,209120,385290,413204,386699,394560,334718,144848,381586,98833.7,110920,189136,171102,169288,385136,423642,254879
"PS(27:0)",1469720,2370493,2483092,1691858,977227,1119336,389131,1707442,2061627,2045981,1956294,849149,1987029,2880578,40826.8,1282335,2176492,1568962,1730047,1508764,1317398
"PS(29:0)",1079372,2315174,2665408,1965140,976805,1260369,408789,1970176,2017971,2052191,1792556,837682,2158257,2566844,48171,1189908,1630630,1510143,1516836,1370620,1045336
"PS(34:2)",15783961,13712481,15948930,14339663,15604518,8828261,2.2e+07,12812376,10875417,10482113,11401800,9005716,11768292,4525981,4578193,7230427,5978986,4862983,7899899,7881451,5559803
"PS(35:2)",2817692,2111992,1858430,2529354,2636750,1458207,3378701,2382318,1339361,1774863,1388240,644505,1676300,476557,704038,714391,758066,1160628,1061000,1592113,1123947
"PS(36:1)",2.2e+08,1.9e+08,1.5e+08,1.6e+08,1.4e+08,1.1e+08,1.7e+08,1.4e+08,1.4e+08,1.4e+08,1.3e+08,1.3e+08,1.3e+08,6.5e+07,8.7e+07,6.5e+07,8.6e+07,9.3e+07,1.3e+08,1.3e+08,7.7e+07
"PS(36:2)",3e+08,3.2e+08,2.8e+08,3.2e+08,3.1e+08,2.16e+08,3.6e+08,2.79e+08,2.59e+08,2.49e+08,2.63e+08,2.07e+08,2.57e+08,1.27e+08,1.99e+08,2.07e+08,1.85e+08,2.26e+08,2.69e+08,2.62e+08,1.84e+08
"PS(36:3)",6662855,8091509,6918720,9759267,8528538,5850606,11045907,8121060,6943086,6045136,9565784,4752927,11082803,2334857,4308634,4498444,3278547,5597799,8209081,11438871,5700690
"PS(36:4)",25533131,25160312,24558880,23891456,27006508,18873990,24815497,25021916,20105045,16880250,18030277,13804494,20039667,10704387,12306507,17727530,19006302,15522256,19376784,18993785,15944960
"PS(36:5)",4776962,4544596,3556130,3681476,5915948,2609613,4420753,3782490,3108951,2874564,3047388,1580968,3338875,1088705,1375352,2162420,2774086,2306499,2786926,2611118,2299659
"PS(38:1)",8222485,9059179,6101683,1e+07,7329114,5364406,8179700,9117604,5956542,7027236,7611819,5692680,6957355,5119044,2494512,4076345,6194989,5136142,5635042,3700837,3561571
"PS(38:2)",3921874,4478955,2700229,3354194,3937418,2301815,3793530,2915266,3084811,3744082,2736053,1271053,3643752,1705910,1991148,1515616,1882596,2181350,2913949,3608807,2147191
"PS(38:3)",7.5e+07,1.05e+08,9.1e+07,1e+08,1.03e+08,8.1e+07,1.01e+08,1.04e+08,7.6e+07,7.4e+07,6.1e+07,6e+07,8.5e+07,3.9e+07,6e+07,5.5e+07,5.8e+07,5.8e+07,7.2e+07,8.6e+07,4.4e+07
"PS(38:4)",327338657,396022143,3.57e+08,378955168,354387279,3.93e+08,3.91e+08,4.05e+08,4.22e+08,3.92e+08,3.62e+08,375478921,4.02e+08,2.81e+08,472842780,355025044,367355913,427396996,429144461,448800131,3.46e+08
"PS(38:5)",29665337,31153791,30300435,32998325,35176008,21045094,34045959,28299893,24093831,23757994,25346191,14769362,25361188,9149932,14416200,18883981,20582394,19520117,18577019,21461768,17935845
"PS(38:6)",9602157,7633684,7977848,7552213,9398825,6556342,7874766,9580648,6164871,5954043,6961642,4455542,5786340,2695002,4158411,3522615,6103467,4988813,5578605,5927337,5241624
"PS(39:0)",3.8e+08,3.9e+08,3.4e+08,3.8e+08,3.8e+08,2.7e+08,4.2e+08,3.8e+08,2.9e+08,2.8e+08,2.8e+08,1.4e+08,2.9e+08,1.7e+08,1.3e+08,1.9e+08,1.9e+08,2.2e+08,2.1e+08,2.2e+08,1.9e+08
"PS(39:3)",3.2e+07,3.2e+07,2.9e+07,3.2e+07,3.3e+07,2.5e+07,4.3e+07,3e+07,2.4e+07,2.3e+07,2.4e+07,1.2e+07,2.4e+07,7696682,9715364,2.1e+07,1.7e+07,1.6e+07,1.9e+07,2e+07,1.4e+07
"PS(39:4)",7085801,4369554,4481238,4403233,5746897,2416433,1.1e+07,4267426,3585984,3757463,3188171,1369652,3610097,1105337,2355381,1882334,1841819,1877599,2192871,4213189,1682996
"PS(40:1)",3.8e+07,4.2e+07,4e+07,3.6e+07,3.5e+07,26336879,3.8e+07,35834606,4.4e+07,3.9e+07,32348202,17677910,2.8e+07,22183862,14238885,22687781,27400414,36462124,2.6e+07,19696023,27647231
"PS(40:2)",7494776,8143840,4868448,4197411,2683218,4188997,5349702,5141269,5326912,3417459,4210763,1856304,5015330,1796499,2104619,1196515,3686335,4376094,5572906,4640886,2167896
"PS(40:4)",5e+07,4.9e+07,3.7e+07,3.2e+07,4.8e+07,3.4e+07,4.5e+07,4e+07,4e+07,2.8e+07,3e+07,3.7e+07,3.3e+07,1.2e+07,2.7e+07,1.9e+07,1.5e+07,1.7e+07,3.1e+07,3.5e+07,2.4e+07
"PS(40:5)",122509789,132199984,122433251,122072012,132965322,111836511,132919624,133275651,121677073,121874192,111792292,110828420,121997365,71851605,120925069,99551522,99811516,101599124,122213218,131567343,90158688
"PS(40:6)",2.96e+08,3.22e+08,2.57e+08,2.79e+08,2.69e+08,2.28e+08,2.77e+08,2.88e+08,2.48e+08,2.37e+08,2.16e+08,2.26e+08,2.6e+08,87216160,2.07e+08,1.43e+08,1.76e+08,1.77e+08,1.86e+08,2.18e+08,1.64e+08
"PS(40:7)",18332429,17972295,15015996,16950766,17265199,12680123,17419605,15557731,15412361,14594582,12943327,11626741,14267692,4879262,10727878,12232818,12862270,10904026,11229810,15731871,10304406
"PS(40:8)",11948960,13533687,11764131,11674365,13168968,11133799,14271866,13765658,10647105,11693048,9923724,8730691,11055777,4253353,7751810,8701426,8936013,9518084,9880190,9457185,9349957
"PS(41:1)",2743802,2126475,1886840,2114512,2243397,1174836,2721638,997230,1820946,1778118,1883575,607093,1904787,634791,800327,640562,1302906,1400919,1795577,1928885,788531
"PS(41:6)",4588610,2909348,2514581,2263250,3231945,1644272,3275340,2427084,2346075,2488397,2285037,1031515,2311561,420820,795188,1205212,885122,959300,1493065,1514130,1328401
"PS(42:1)",2.8e+07,3.9e+07,2.5e+07,2.5e+07,2.7e+07,1.5e+07,2.3e+07,2.8e+07,2.6e+07,2.6e+07,2.3e+07,2e+07,2.8e+07,1.2e+07,1.1e+07,1e+07,1.7e+07,1.8e+07,1.5e+07,2.3e+07,1.7e+07
"PS(42:10)",580562,784761,779901,619335,769119,887150,717914,662207,594221,613810,578914,250832,595702,40246.1,364876,375308,359271,294103,417765,606309,400601
"PS(42:2)",5372150,6876926,3810328,4601438,3942123,3398135,4906534,3658896,3717045,4212155,3028805,2270763,4135805,1912606,822445,2420826,3395639,3025769,3715808,3375695,2218636
"PS(42:3)",2188114,2196626,1268966,1787177,1524568,1177996,2117880,1509504,1252703,1284189,1217958,619241,1529417,500596,498631,817324,934946,1231050,1423218,1353052,826910
"PS(42:6)",2924685,1959766,1933301,1979273,2684285,1611312,2060757,3076192,1932627,1890929,1999624,1206497,1645681,974717,1500358,1430069,1650185,1674083,2401485,2811810,1613643
"PS(42:9)",2769570,5469151,4164704,3984691,3908501,5659263,3592371,3700899,4157849,4124802,4189407,3844055,4559549,2925560,5359261,3937146,4087471,4880245,4442971,4059322,4432149
"PS(43:6)",2.2e+07,1.4e+07,1.4e+07,1.3e+07,1.8e+07,1.1e+07,1.7e+07,1.8e+07,1.3e+07,1.2e+07,1.2e+07,6828891,1.4e+07,2978136,7015738,1.1e+07,1.1e+07,9431740,1.2e+07,1.6e+07,1.3e+07
"SM(16:1)",257091041,257800125,256330383,266274982,277233622,224149502,287283721,266342376,245211630,225697351,235778376,122388691,245891481,204569238,152763437,224751979,214242488,204380125,215043792,255359840,214368225
"SM(18:0)",9.8e+07,7.1e+07,6.6e+07,7.2e+07,6.3e+07,5.4e+07,7.5e+07,6.4e+07,6.1e+07,5.9e+07,6.1e+07,3.2e+07,6.5e+07,4.9e+07,3.7e+07,5.5e+07,5.3e+07,5.8e+07,5.9e+07,6.4e+07,5.4e+07
